English,Tamil,Malayalam,Telugu,Hindi
agree,ஒப்புக்கொள்,സമ്മതിക്കുന്നു,అంగీకరిస్తున్నారు,सहमत
especially,குறிப்பாக,പ്രത്യേകിച്ച്,ముఖ్యంగా,विशेष रूप से
record,பதிவு,റെക്കോർഡ്,రికార్డు,अभिलेख
pick,எடு,തിരഞ്ഞെടുക്കുക,ఎంచుకోండి,चुनना
wear,அணிய,ധരിക്കുക,ధరించడం,घिसाव
paper,காகிதம்,പേപ്പർ,కాగితం,कागज़
special,சிறப்பு,പ്രത്യേകം,ప్రత్యేక,विशेष
space,விண்வெளி,സ്ഥലം,స్థలం,अंतरिक्ष
ground,தரையில்,നിലം,నేల,मैदान
form,வடிவம்,രൂപം,రూపం,रूप
support,ஆதரவு,പിന്തുണ,మద్దతు,सहायता
event,நிகழ்வு,സംഭവം,సంఘటన,आयोजन
official,அதிகாரி,ഉദ്യോഗസ്ഥൻ,అధికారిక,अधिकारी
whose,யாருடைய,ആരുടെ,ఎవరిది,किसका
matter,விஷயம்,കാര്യം,విషయం,मामला
everyone,அனைவரும்,എല്ലാവരും,ప్రతి ఒక్కరూ,सब लोग
center,மையம்,കേന്ദ്രം,కేంద్రం,केंद्र
couple,ஜோடி,ദമ്പതികൾ,జంట,युगल
site,தளம்,സൈറ്റ്,సైట్,साइट
project,திட்டம்,പദ്ധതി,ప్రాజెక్ట్,परियोजना
hit,தாக்கியது,അടിച്ചു,కొట్టుట,मार
base,அடித்தளம்,അടിസ്ഥാനം,బేస్,आधार
activity,செயல்பாடு,പ്രവർത്തനം,కార్యాచరణ,गतिविधि
star,நட்சத்திரம்,നക്ഷത്രം,నక్షత్రం,तारा
table,மேசை,മേശ,పట్టిక,मेज़
court,நீதிமன்றம்,കോടതി,కోర్టు,अदालत
produce,உற்பத்தி,ഉൽപ്പാദിപ്പിക്കുക,ఉత్పత్తి,उत्पादन करना
eat,சாப்பிடு,കഴിക്കുക,తిను,खाओ
teach,கற்பிக்கின்றன,പഠിപ്പിക്കുക,బోధిస్తారు,पढ़ाना
oil,எண்ணெய்,എണ്ണ,నూనె,तेल
half,பாதி,പകുതി,సగం,आधा
situation,நிலைமை,സാഹചര്യം,పరిస్థితి,परिस्थिति
easy,சுலபம்,എളുപ്പമാണ്,సులభంగా,आसान
cost,செலவு,ചെലവ്,ఖరీదు,लागत
industry,தொழில்,വ്യവസായം,పరిశ్రమ,उद्योग
figure,உருவம்,ചിത്രം,బొమ్మ,आकृति
street,தெரு,തെരുവ്,వీధి,गली
image,படம்,ചിത്രം,చిత్రం,छवि
itself,தன்னை,തന്നെ,స్వయంగా,अपने आप
phone,தொலைபேசி,ഫോൺ,ఫోన్,फ़ोन
either,ஒன்று,ഒന്നുകിൽ,గాని,दोनों में से एक
data,தகவல்கள்,ഡാറ്റ,సమాచారం,डेटा
cover,கவர்,മൂടുക,కవర్,ढकना
quite,மிகவும்,തികച്ചും,చాలా,अत्यंत
picture,படம்,ചിത്രം,చిత్రం,चित्र
clear,தெளிவானது,വ്യക്തമായ,స్పష్టమైన,स्पष्ट
practice,பயிற்சி,പ്രാക്ടീസ്,సాధన,अभ्यास
piece,துண்டு,കഷണം,ముక్క,टुकड़ा
land,நில,ഭൂമി,భూమి,भूमि
recent,அண்மையில்,സമീപകാല,ఇటీవలి,हाल ही का
describe,விவரிக்க,വിവരിക്കുക,వర్ణించండి,वर्णन करना
product,தயாரிப்பு,ഉൽപ്പന്നം,ఉత్పత్తి,उत्पाद
doctor,மருத்துவர்,ഡോക്ടർ,వైద్యుడు,चिकित्सक
wall,சுவர்,മതിൽ,గోడ,दीवार
patient,நோயாளி,രോഗി,రోగి,मरीज़
worker,தொழிலாளி,തൊഴിലാളി,కార్మికుడు,कार्यकर्ता
news,செய்தி,വാർത്ത,వార్తలు,समाचार
test,சோதனை,പരീക്ഷ,పరీక్ష,परीक्षा
movie,திரைப்படம்,സിനിമ,సినిమా,चलचित्र
certain,உறுதி,ഉറപ്പാണ്,ఖచ్చితంగా,निश्चित
north,வடக்கு,വടക്ക്,ఉత్తరం,उत्तर
personal,தனிப்பட்ட,വ്യക്തിപരമായ,వ్యక్తిగత,निजी
simply,வெறுமனே,ലളിതമായി,కేవలం,केवल
third,மூன்றாவது,മൂന്നാമത്,మూడవది,तीसरा
technology,தொழில்நுட்பம்,സാങ്കേതികവിദ്യ,సాంకేతికం,तकनीकी
catch,பிடி,പിടിക്കുക,క్యాచ్,पकड़ना
step,படி,ഘട്ടം,అడుగు,कदम
baby,குழந்தை,കുഞ്ഞ്,శిశువు,बच्चा
computer,கணினி,കമ്പ്യൂട്ടർ,కంప్యూటర్,कंप्यूटर
type,வகை,തരം,రకం,प्रकार
attention,கவனம்,ശ്രദ്ധ,శ్రద్ధ,ध्यान
draw,வரை,വരയ്ക്കുക,డ్రా,खींचना
film,படம்,സിനിമ,చిత్రం,पतली परत
Republican,குடியரசுக் கட்சி,റിപ്പബ്ലിക്കൻ,రిపబ్లికన్,रिपब्लिकन
tree,மரம்,വൃക്ഷം,చెట్టు,पेड़
source,ஆதாரம்,ഉറവിടം,మూలం,स्रोत
red,சிவப்பு,ചുവപ്പ്,ఎరుపు,लाल
nearly,கிட்டத்தட்ட,ഏതാണ്ട്,దాదాపు,लगभग
organization,அமைப்பு,സംഘടന,సంస్థ,संगठन
choose,தேர்வு,തിരഞ്ഞെടുക്കുക,ఎంచుకోండి,चुनना
cause,காரணம்,കാരണമാകുന്നു,కారణం,कारण
hair,முடி,മുടി,జుట్టు,बाल
century,நூற்றாண்டு,നൂറ്റാണ്ട്,శతాబ్దం,शतक
evidence,ஆதாரம்,തെളിവ്,సాక్ష్యం,प्रमाण
window,ஜன்னல்,ജാലകം,కిటికీ,खिड़की
difficult,கடினமான,ബുദ്ധിമുട്ടുള്ള,కష్టం,कठिन
